Country,Product Group,"Average Tariff Rate, Final Bound","Duty Free %, Final Bound","Maximum Tariff Rate, Final Bound","Average Tariff Rate, MFN","Duty Free %, MFN","Maximum Tariff Rate, MFN",Import Share %,Duty-Free Import Share %
United Arab Emirates                    ,Live animals and meat,30.3,0,200,2.8,36.8,5,0.9,30.5
United Arab Emirates                    ,Dairy products,15,0,15,5,0,5,0.6,0
United Arab Emirates                    ,Fruits and vegetables,15,0,15,3.1,38.6,5,1.4,47.8
United Arab Emirates                    ,"Coffee, tea, cocoa and spices",15,0,15,3.9,20.4,5,0.6,34.5
United Arab Emirates                    ,Cereals and food preparations,15,0,15,3.6,38.5,100,1.2,47.1
United Arab Emirates                    ,"Oilseeds, fats and oils",31.3,0,200,4.9,2.7,5,0.6,3.9
United Arab Emirates                    ,Sugars and confectionery,15,0,15,3.5,29.4,5,0.3,67.8
United Arab Emirates                    ,Beverages and tobacco,116.6,0,200,35.7,0.6,100,1.0,0.0
United Arab Emirates                    ,"Cotton, silk and wool",15,0,15,5,0,5,0.0,0
United Arab Emirates                    ,Other agricultural products,15,0,15,4.3,13.6,5,0.5,43.2
United Arab Emirates                    ,Fish and fish products,15,0,15,3.6,28.2,5,0.3,56.8
United Arab Emirates                    ,Minerals and metals,15,0.1,15,4.9,2.4,10,35.3,61.0
United Arab Emirates                    ,Petroleum,15,0,15,5,0,5,5.8,0
United Arab Emirates                    ,Chemicals,7,6.3,15,4.6,11.5,100,8.1,24.6
United Arab Emirates                    ,"Wood, paper, furniture",12.6,0,15,4.8,4.4,5,1.9,5.4
United Arab Emirates                    ,Textiles,15,0,15,5,0,5,1.4,0
United Arab Emirates                    ,Clothing,15,0,15,5,0,5,1.9,0
United Arab Emirates                    ,"Rubber, leather and footwear",15,0,15,5,0,5,1.8,0
United Arab Emirates                    ,"Mechanical, office and computing machinery",13.4,5.7,15,4.5,10.3,5,10.5,39.1
United Arab Emirates                    ,Electrical machinery and electronic equipment,12,20.1,15,3.7,25.4,5,14.5,76.3
United Arab Emirates                    ,Transport equipment,13.7,0,15,4.3,14.2,5,8.4,5.1
United Arab Emirates                    ,Other Manufactures,13.7,4.7,15,4.7,6.8,5,3.1,8.1
Afghanistan                             ,Live animals and meat,30.8,2.8,60,,,,,
Afghanistan                             ,Dairy products,29.4,0,60,,,,,
Afghanistan                             ,Fruits and vegetables,49.2,0,60,,,,,
Afghanistan                             ,"Coffee, tea, cocoa and spices",27.8,0,60,,,,,
Afghanistan                             ,Cereals and food preparations,35.1,0,60,,,,,
Afghanistan                             ,"Oilseeds, fats and oils",17.5,0,60,,,,,
Afghanistan                             ,Sugars and confectionery,35.3,0,50,,,,,
Afghanistan                             ,Beverages and tobacco,57,0,70,,,,,
Afghanistan                             ,"Cotton, silk and wool",18.8,0,20,,,,,
Afghanistan                             ,Other agricultural products,22.9,0,60,,,,,
Afghanistan                             ,Fish and fish products,6.6,0,30,,,,,
Afghanistan                             ,Minerals and metals,11.9,11.9,40,,,,,
Afghanistan                             ,Petroleum,13.3,0,15,,,,,
Afghanistan                             ,Chemicals,6.3,1.0,40,,,,,
Afghanistan                             ,"Wood, paper, furniture",10.2,10.2,30,,,,,
Afghanistan                             ,Textiles,15.2,0,40,,,,,
Afghanistan                             ,Clothing,29.9,0,30,,,,,
Afghanistan                             ,"Rubber, leather and footwear",8.7,5.8,30,,,,,
Afghanistan                             ,"Mechanical, office and computing machinery",4.5,24.0,20,,,,,
Afghanistan                             ,Electrical machinery and electronic equipment,6,41.7,30,,,,,
Afghanistan                             ,Transport equipment,7.9,25.0,50,,,,,
Afghanistan                             ,Other Manufactures,10.5,14.5,30,,,,,
Antigua and Barbuda                     ,Live animals and meat,103,0,130,20.1,22.4,40,5.6,45.4
Antigua and Barbuda                     ,Dairy products,100,0,100,6.4,31.3,20,2.4,36.3
Antigua and Barbuda                     ,Fruits and vegetables,116.7,0,220,23.8,7.3,40,4.3,2.8
Antigua and Barbuda                     ,"Coffee, tea, cocoa and spices",100,0,100,21.2,0,40,0.6,0
Antigua and Barbuda                     ,Cereals and food preparations,100,0,100,11.2,24.0,40,5.5,2.3
Antigua and Barbuda                     ,"Oilseeds, fats and oils",101.7,0,156,22.5,7.0,40,0.9,0.5
Antigua and Barbuda                     ,Sugars and confectionery,100,0,100,19.5,0,40,0.5,0
Antigua and Barbuda                     ,Beverages and tobacco,110.8,0,182,20,0,45,5.7,0
Antigua and Barbuda                     ,"Cotton, silk and wool",100,0,100,1,80.0,5,0,0
Antigua and Barbuda                     ,Other agricultural products,98.7,0,100,6.6,61.1,40,1.7,66.1
Antigua and Barbuda                     ,Fish and fish products,100,0,100,23,17.0,40,1.7,17.6
Antigua and Barbuda                     ,Minerals and metals,51.7,0,120,6.9,15.2,30,14.2,1.8
