Year,Product_Type,Category,Import_Volume_Billion_USD
2015,Agricultural Products,Duty-free (No Tariff),45.2
2015,Agricultural Products,0 <= 5% Tariff,37.8
2015,Agricultural Products,5 <= 10% Tariff,18.5
2015,Agricultural Products,10 <= 15% Tariff,12.3
2015,Agricultural Products,15 <= 25% Tariff,8.7
2015,Agricultural Products,25 <= 50% Tariff,5.2
2015,Agricultural Products,50 <= 100% Tariff,1.5
2015,Agricultural Products,> 100 % Tariff,0.8
2015,Agricultural Products,Non-Ad Valorem Duties,22.6
2015,Non-agricultural Products,Duty-free (No Tariff),985.3
2015,Non-agricultural Products,0 <= 5% Tariff,562.1
2015,Non-agricultural Products,5 <= 10% Tariff,352.4
2015,Non-agricultural Products,10 <= 15% Tariff,98.7
2015,Non-agricultural Products,15 <= 25% Tariff,42.3
2015,Non-agricultural Products,25 <= 50% Tariff,12.8
2015,Non-agricultural Products,50 <= 100% Tariff,0.0
2015,Non-agricultural Products,> 100 % Tariff,0.0
2015,Non-agricultural Products,Non-Ad Valorem Duties,65.4
2016,Agricultural Products,Duty-free (No Tariff),46.3
2016,Agricultural Products,0 <= 5% Tariff,38.2
2016,Agricultural Products,5 <= 10% Tariff,19.1
2016,Agricultural Products,10 <= 15% Tariff,11.8
2016,Agricultural Products,15 <= 25% Tariff,8.5
2016,Agricultural Products,25 <= 50% Tariff,4.9
2016,Agricultural Products,50 <= 100% Tariff,1.4
2016,Agricultural Products,> 100 % Tariff,0.7
2016,Agricultural Products,Non-Ad Valorem Duties,23.1
2016,Non-agricultural Products,Duty-free (No Tariff),963.2
2016,Non-agricultural Products,0 <= 5% Tariff,538.7
2016,Non-agricultural Products,5 <= 10% Tariff,341.8
2016,Non-agricultural Products,10 <= 15% Tariff,94.2
2016,Non-agricultural Products,15 <= 25% Tariff,38.6
2016,Non-agricultural Products,25 <= 50% Tariff,11.3
2016,Non-agricultural Products,50 <= 100% Tariff,0.0
2016,Non-agricultural Products,> 100 % Tariff,0.0
2016,Non-agricultural Products,Non-Ad Valorem Duties,62.7
2017,Agricultural Products,Duty-free (No Tariff),47.5
2017,Agricultural Products,0 <= 5% Tariff,39.6
2017,Agricultural Products,5 <= 10% Tariff,18.3
2017,Agricultural Products,10 <= 15% Tariff,11.2
2017,Agricultural Products,15 <= 25% Tariff,7.9
2017,Agricultural Products,25 <= 50% Tariff,4.3
2017,Agricultural Products,50 <= 100% Tariff,1.2
2017,Agricultural Products,> 100 % Tariff,0.6
2017,Agricultural Products,Non-Ad Valorem Duties,22.8
2017,Non-agricultural Products,Duty-free (No Tariff),1025.6
2017,Non-agricultural Products,0 <= 5% Tariff,572.3
2017,Non-agricultural Products,5 <= 10% Tariff,365.8
2017,Non-agricultural Products,10 <= 15% Tariff,101.5
2017,Non-agricultural Products,15 <= 25% Tariff,40.2
2017,Non-agricultural Products,25 <= 50% Tariff,10.7
2017,Non-agricultural Products,50 <= 100% Tariff,0.0
2017,Non-agricultural Products,> 100 % Tariff,0.0
2017,Non-agricultural Products,Non-Ad Valorem Duties,67.8
2018,Agricultural Products,Duty-free (No Tariff),48.9
2018,Agricultural Products,0 <= 5% Tariff,41.2
2018,Agricultural Products,5 <= 10% Tariff,17.5
2018,Agricultural Products,10 <= 15% Tariff,10.8
2018,Agricultural Products,15 <= 25% Tariff,7.3
2018,Agricultural Products,25 <= 50% Tariff,3.8
2018,Agricultural Products,50 <= 100% Tariff,1.0
2018,Agricultural Products,> 100 % Tariff,0.5
2018,Agricultural Products,Non-Ad Valorem Duties,21.5
2018,Non-agricultural Products,Duty-free (No Tariff),1053.8
2018,Non-agricultural Products,0 <= 5% Tariff,558.7
2018,Non-agricultural Products,5 <= 10% Tariff,342.1
2018,Non-agricultural Products,10 <= 15% Tariff,95.3
2018,Non-agricultural Products,15 <= 25% Tariff,38.7
2018,Non-agricultural Products,25 <= 50% Tariff,8.9
2018,Non-agricultural Products,50 <= 100% Tariff,0.0
2018,Non-agricultural Products,> 100 % Tariff,0.0
2018,Non-agricultural Products,Non-Ad Valorem Duties,65.1
2019,Agricultural Products,Duty-free (No Tariff),49.8
2019,Agricultural Products,0 <= 5% Tariff,40.6
2019,Agricultural Products,5 <= 10% Tariff,16.9
2019,Agricultural Products,10 <= 15% Tariff,10.2
2019,Agricultural Products,15 <= 25% Tariff,6.8
2019,Agricultural Products,25 <= 50% Tariff,3.5
2019,Agricultural Products,50 <= 100% Tariff,0.9
2019,Agricultural Products,> 100 % Tariff,0.4
2019,Agricultural Products,Non-Ad Valorem Duties,20.7
2019,Non-agricultural Products,Duty-free (No Tariff),1008.5
